time,id,etof,hectares
2022-04-18,1,0.317,3541.741
2022-04-19,1,0.317,3541.741
2022-04-20,1,0.219,3541.741
2022-04-21,1,0.246,3541.741
2022-04-22,1,0.246,3541.741
2022-04-23,1,0.246,3541.741
2022-04-24,1,0.246,3541.741
2022-04-25,1,0.246,3541.741
2022-04-26,1,0.246,3541.741
2022-04-27,1,0.246,3541.741
2022-04-28,1,0.274,3541.741
2022-04-29,1,0.28,3541.741
2022-04-30,1,0.28,3541.741
2022-05-01,1,0.28,3541.741
2022-05-02,1,0.28,3541.741
2022-05-03,1,0.28,3541.741
2022-05-04,1,0.28,3541.741
2022-05-05,1,0.28,3541.741
2022-05-06,1,0.28,3541.741
2022-05-07,1,0.28,3541.741
2022-05-08,1,0.28,3541.741
2022-05-09,1,0.28,3541.741
2022-05-10,1,0.28,3541.741
2022-05-11,1,0.28,3541.741
2022-05-12,1,0.28,3541.741
2022-05-13,1,0.28,3541.741
2022-05-14,1,0.285,3541.741
2022-05-15,1,0.403,3541.741
2022-05-16,1,0.403,3541.741
